id,customer_id,event_type,old_plan,new_plan,event_date
4a7c56e2-7ea2-47f3-904f-ed87bf672307,33e17058-3326-4a5f-aab5-412f40489356,upgrade,Starter,Growth,2026-06-15T00:41:00.845302
ba944ea3-e78d-44d9-bcc5-fdb69aacebb8,1d00b7b9-ea13-4a5d-b1be-8c0665b73a1a,upgrade,Starter,Growth,2026-06-14T21:51:09.920004
9c0db493-cca7-49df-b3ad-6812691266d5,3745f495-1999-4936-a91a-bc0833b9ba1a,upgrade,Starter,Growth,2026-06-14T13:55:48.765533
a9618eaf-d5f5-4acf-b151-1688315892b2,3b721e4b-1993-4010-9ec2-a9216dcd14b5,upgrade,Starter,Growth,2026-06-14T12:32:50.23356
8be50fea-5eb5-44ca-b293-afb0023f9f9b,bdcf8d2d-f402-426b-b50f-9cfdef4c4755,upgrade,Starter,Growth,2026-06-14T10:10:23.386358
a33f3b0d-7837-42dd-b710-e7fb2250094e,f9ae1d3e-65a9-4e45-ac8e-94ab5aa62ae0,upgrade,Starter,Growth,2026-06-13T17:33:15.318461
2c8c9768-a0d1-4b1a-97bc-e96650807181,6e4ce453-bfbd-4c26-9db1-6a329fa17f35,upgrade,Starter,Growth,2026-06-13T16:34:23.539106
2a27e26c-c12d-4181-a857-fb45fb93f32d,0da5f534-58d7-4e84-87e2-dce415464486,upgrade,Starter,Growth,2026-06-13T16:04:45.220568
689204b3-64e7-467c-8003-81c354e37024,2a7270cd-bea5-4db7-ba12-407be7467bd4,upgrade,Starter,Growth,2026-06-13T10:47:52.247891
1ff86c22-0b9a-4f9a-b47f-ab5b97dca64d,42c19bce-72b5-48f6-81cb-0a03065676af,upgrade,Starter,Growth,2026-06-13T04:16:34.977532
d2e475b4-02c4-4b63-ae73-087f58ec3d18,5d76ff55-ae28-4b25-95d3-e5830ac60421,upgrade,Starter,Growth,2026-06-13T02:34:00.718377
6872e4bf-913b-49c4-b0fc-998d801ac9a4,f7576b99-f635-4533-8a2f-d1b733b14082,upgrade,Starter,Growth,2026-06-12T20:01:26.611815
56e54425-c458-487f-8793-46b0d03e4075,f86cfeb4-2009-4cc6-8e88-1c21b780108a,upgrade,Starter,Growth,2026-06-12T19:09:31.962131
f45a82ab-9fc6-43f2-a846-23cf0bedd23e,ab6690ac-7fc0-48ac-bbb0-19605946d174,upgrade,Starter,Growth,2026-06-12T17:41:32.912633
735f6fa8-8ae3-4e41-b6ae-f8fd1f1a1535,64f875a3-2750-4833-877e-364d95780873,upgrade,Starter,Growth,2026-06-12T12:45:35.277368
4e21332a-83f5-4a3e-91e6-2eba1de742ce,45922fd6-e58d-48cf-93c7-326014b772b7,upgrade,Starter,Growth,2026-06-12T07:46:04.015476
fb095d35-0107-42e0-a5f8-dee4456217cd,b668246d-403c-496d-9e18-5fb374c27aa2,upgrade,Starter,Growth,2026-06-12T05:30:34.319059
948b469b-1be7-4864-a459-eb6e896a3e81,4773dc9f-049d-4116-bdae-d91ece391ed2,upgrade,Starter,Growth,2026-06-11T14:11:10.51437
7d0d5776-aee7-4bab-a58e-0c58db88e667,ebd2d104-03b7-45ae-85d5-b62430249440,upgrade,Starter,Growth,2026-06-11T12:55:38.52374
ac9b04bc-e7d1-47ab-8d94-9de86aa4fc77,6872dbd1-9c66-440d-aa95-dc62a04d4786,upgrade,Starter,Growth,2026-06-11T11:21:00.784357
9bdd623b-6a50-4a9c-be2d-6c6f3c0ed785,6d0e80c9-2fc6-41ac-9edb-9cc60ad5fda9,upgrade,Starter,Growth,2026-06-11T00:07:48.130714
5d87a9b3-e888-4fc5-a846-f2227f39e641,3dfc9791-5b3a-49ce-9927-24ce7c248419,upgrade,Starter,Growth,2026-06-10T13:59:31.123616
fdea28fc-5ccc-4333-afa1-c5be7b7d7511,329f237e-8930-4ac3-9e22-86db411f5c63,upgrade,Starter,Growth,2026-06-10T10:19:16.247729
0eda2a58-2345-43fd-857c-47d40d7bfe73,02d77927-e952-46b8-912c-fde641d4b44f,upgrade,Starter,Growth,2026-06-10T09:06:36.439215
334221ee-c3ea-4d34-9c71-1b7e247384aa,d718d28e-0e1d-495c-a823-ce409d5c068e,upgrade,Starter,Growth,2026-06-10T07:00:51.150729
d228e83b-570a-4fba-aeff-1e76f2ec5362,e80bf484-3264-452a-8c72-7806e991952d,upgrade,Starter,Growth,2026-06-10T04:45:37.366793
54760be5-97d0-4be7-876a-4796c17edd37,9e5c0233-8b67-4159-9b86-d4bf8a17e56c,upgrade,Starter,Growth,2026-06-09T14:47:23.486062
61ecbb0d-c6ec-42b0-b5d5-0e46da831e8d,e756f706-99a5-4a21-a306-1570029b46d1,upgrade,Starter,Growth,2026-06-09T13:59:41.886798
0f72d4ef-d179-453f-bcd3-6ec755931cee,81914a72-86db-4540-ab6a-bb8d4c25f883,upgrade,Starter,Growth,2026-06-09T12:27:58.695212
91d40d8d-aa46-4be1-82e8-0993d74af6ba,be634496-13f9-4517-88c0-3c4c31a5795e,upgrade,Starter,Growth,2026-06-09T02:13:19.459382
4ec6a68f-b0e3-4623-baba-95eb40251225,a3e4333d-0d01-4a4a-b94d-29be95e3693a,upgrade,Starter,Growth,2026-06-08T20:18:30.063707
d7453e5d-d64f-4317-9486-416e796a8875,b7ab2db3-40d0-443b-a789-fd3dc0e42d15,upgrade,Starter,Growth,2026-06-08T08:07:17.803082
752e43a3-482a-480f-8e02-61d69e5f3a89,382bca74-6792-439c-9b42-661d09d70ac5,upgrade,Starter,Growth,2026-06-08T05:27:36.808392
